bout_id,date,boxer_a_champion_id,boxer_a_name,boxer_b_champion_id,boxer_b_name,status,winner,method_of_victory,total_rounds,scheduled_rounds,weight_class,weight_lb,titles,location_id,
1,1912-06-24,7,Frank Klaus,25,Georges Carpentier,FINISHED,BOXER A,DQ,19,20,Middleweight,160,NYSAC-Middleweight-160,,
2,1912-07-04,1,Jack Johnson,,Fireman Jim Flynn,FINISHED,BOXER A,DQ,9,45,Heavyweight,175+,NYSAC-Heavyweight-200+,,
3,1913-02-17,13,Bob Moha,,Cyclone Johnny Thompson,FINISHED,BOXER A,NWS,10,10,Light Heavyweight,175,NYSAC-Light Heavyweight-175,,
4,1913-03-05,7,Frank Klaus,,Billy Papke,FINISHED,BOXER A,DQ,15,20,Middleweight,160,NYSAC-Middleweight-160,,
5,1913-04-11,22,Eugene Criqui,9,Sid Smith,FINISHED,BOXER B,UD,20,20,Flyweight,112,IBU-Flyweight-112,,
6,1913-05-12,10,Johnny Coulon,,Frank Bradley,FINISHED,BOXER B,NWS,6,6,Bantamweight,118,IBU-Bantamweight-118,,
7,1913-06-02,16,Bill Ladbury,9,Sid Smith,FINISHED,BOXER A,RTD,11,20,Flyweight,112,IBU-Flyweight-112,,
8,1913-06-23,10,Johnny Coulon,,Frankie Burns,FINISHED,DRAW,NWS,10,10,Bantamweight,118,IBU-Bantamweight-118,,
9,1913-07-04,,Mexican Joe Rivers,15,Willie Ritchie,FINISHED,BOXER B,KO,11,20,Lightweight,135,IBU-Lightweight-135,,
10,1913-10-11,8,George Chip,7,Frank Klaus,FINISHED,BOXER A,KO,6,6,Middleweight,160,"IBU-Middleweight-160,NYSAC-Middleweight-160",,
11,1913-11-25,8,George Chip,,Tim O'Neil,FINISHED,BOXER A,NWS,10,10,Middleweight,160,"IBU-Middleweight-160,NYSAC-Middleweight-160",,
12,1913-12-19,1,Jack Johnson,,Battling Jim Johnson,FINISHED,DRAW,PTS,10,10,Heavyweight,175+,"IBU-Heavyweight-200+,NYSAC-Heavyweight-200+",,
13,1914-01-12,8,George Chip,,Gus Christie,FINISHED,BOXER A,NWS,10,10,Middleweight,160,"IBU-Middleweight-160,NYSAC-Middleweight-160",,
14,1914-01-19,8,George Chip,,Tim O'Neil,FINISHED,BOXER A,KO,2,10,Middleweight,160,"IBU-Middleweight-160,NYSAC-Middleweight-160",,
15,1914-01-21,10,Johnny Coulon,,Young Sinnett,FINISHED,BOXER A,NWS,10,10,Bantamweight,118,IBU-Bantamweight-118,,
16,1914-01-26,19,Percy Jones,16,Bill Ladbury,FINISHED,BOXER A,PTS,20,20,Flyweight,112,IBU-Flyweight-112,,
17,1914-01-26,8,George Chip,,Joe Borrell,FINISHED,BOXER A,NWS,6,6,Middleweight,160,"IBU-Middleweight-160,NYSAC-Middleweight-160",,
18,1914-03-12,,Ad Wolgast,15,Willie Ritchie,FINISHED,BOXER B,NWS,10,10,Lightweight,135,IBU-Lightweight-135,,
19,1914-03-26,22,Eugene Criqui,19,Percy Jones,FINISHED,BOXER B,PTS,20,20,Flyweight,112,IBU-Flyweight-112,,
20,1914-04-07,8,George Chip,27,Al McCoy,FINISHED,BOXER B,KO,1,10,Middleweight,160,"IBU-Middleweight-160,NYSAC-Middleweight-160",,
21,1914-04-17,15,Willie Ritchie,,Harlem Tommy Murphy,FINISHED,BOXER A,PTS,20,20,Lightweight,135,IBU-Lightweight-135,,
22,1914-05-15,28,Joe Symonds,19,Percy Jones,FINISHED,BOXER A,RTD,18,20,Flyweight,112,IBU-Flyweight-112,,
23,1914-05-26,15,Willie Ritchie,,Charley White,FINISHED,BOXER B,NWS,10,10,Lightweight,135,IBU-Lightweight-135,,
24,1914-06-09,10,Johnny Coulon,24,Kid Williams,FINISHED,BOXER B,KO,3,20,Bantamweight,118,IBU-Bantamweight-118,,
25,1914-06-15,14,Jack Dillon,13,Bob Moha,FINISHED,BOXER A,PTS,12,12,Light Heavyweight,175,NYSAC-Light Heavyweight-175,,
26,1914-06-27,1,Jack Johnson,,Frank Moran,FINISHED,BOXER A,PTS,20,20,Heavyweight,175+,"IBU-Heavyweight-200+,NYSAC-Heavyweight-200+",,
27,1914-07-07,6,Freddie Welsh,15,Willie Ritchie,FINISHED,BOXER A,PTS,20,20,Lightweight,135,IBU-Lightweight-135,,
28,1914-09-28,14,Jack Dillon,,Frank Mantell,FINISHED,BOXER A,NWS,12,12,Light Heavyweight,175,NYSAC-Light Heavyweight-175,,
29,1914-10-27,6,Freddie Welsh,,Matty Baldwin,FINISHED,BOXER A,PTS,12,12,Lightweight,135,IBU-Lightweight-135,,
30,1914-11-09,14,Jack Dillon,,Charley Weinert,FINISHED,BOXER A,KO,2,6,Light Heavyweight,175,NYSAC-Light Heavyweight-175,,
31,1914-11-26,6,Freddie Welsh,,Young Abe Brown,FINISHED,BOXER A,NWS,10,10,Lightweight,135,IBU-Lightweight-135,,
32,1915-01-25,17,Jimmy Wilde,3,Tancy Lee,FINISHED,BOXER B,KO,17,20,Flyweight,112,IBU-Flyweight-112,,
33,1915-02-15,6,Freddie Welsh,,Jimmy Anderson,FINISHED,BOXER A,NWS,6,6,Lightweight,135,IBU-Lightweight-135,,
34,1915-02-25,6,Freddie Welsh,,Charley White,FINISHED,BOXER A,NWS,10,10,Lightweight,135,IBU-Lightweight-135,,
35,1915-03-11,6,Freddie Welsh,15,Willie Ritchie,FINISHED,BOXER B,NWS,10,10,Lightweight,135,IBU-Lightweight-135,,
36,1915-04-05,1,Jack Johnson,2,Jess Willard,FINISHED,BOXER B,KO,26,45,Heavyweight,175+,"IBU-Heavyweight-200+,NYSAC-Heavyweight-200+",,
37,1915-04-06,8,George Chip,27,Al McCoy,FINISHED,BOXER A,NWS,10,10,Middleweight,160,"IBU-Middleweight-160,NYSAC-Middleweight-160",,
38,1915-04-09,6,Freddie Welsh,,Billy Wagner,FINISHED,BOXER A,NWS,10,10,Lightweight,135,IBU-Lightweight-135,,
39,1915-05-04,27,Al McCoy,,Jimmy Clabby,FINISHED,BOXER B,NWS,10,10,Middleweight,160,"IBU-Middleweight-160,NYSAC-Middleweight-160",,
40,1915-05-24,6,Freddie Welsh,,Frankie Fleming,FINISHED,BOXER A,NWS,10,10,Lightweight,135,IBU-Lightweight-135,,
41,1915-05-31,27,Al McCoy,,Silent Martin,FINISHED,DRAW,NWS,10,10,Middleweight,160,"IBU-Middleweight-160,NYSAC-Middleweight-160",,
42,1915-06-04,24,Kid Williams,,Jimmy Murray,FINISHED,BOXER A,NWS,10,10,Bantamweight,118,IBU-Bantamweight-118,,
43,1915-07-03,6,Freddie Welsh,,Charley White,FINISHED,BOXER B,NWS,10,10,Lightweight,135,IBU-Lightweight-135,,
44,1915-07-24,24,Kid Williams,,Jimmy Taylor,FINISHED,BOXER A,PTS,15,15,Bantamweight,118,IBU-Bantamweight-118,,
45,1915-09-09,,Young Ahearn,27,Al McCoy,FINISHED,BOXER A,NWS,10,10,Middleweight,160,"IBU-Middleweight-160,NYSAC-Middleweight-160",,
46,1915-09-10,24,Kid Williams,,Johnny Ertle,FINISHED,BOXER B,DQ,5,10,Bantamweight,118,IBU-Bantamweight-118,,
47,1915-10-18,3,Tancy Lee,28,Joe Symonds,FINISHED,BOXER B,KO,16,20,Flyweight,112,IBU-Flyweight-112,,
48,1915-11-01,14,Jack Dillon,,Charley Weinert,FINISHED,BOXER A,NWS,10,10,Light Heavyweight,175,NYSAC-Light Heavyweight-175,,
49,1915-11-15,6,Freddie Welsh,,Johnny O'Leary,FINISHED,BOXER A,NWS,12,12,Lightweight,135,IBU-Lightweight-135,,
50,1915-11-25,27,Al McCoy,,Silent Martin,FINISHED,BOXER B,NWS,15,15,Middleweight,160,"IBU-Middleweight-160,NYSAC-Middleweight-160",,
51,1915-12-06,24,Kid Williams,,Frankie Burns,FINISHED,DRAW,PTS,20,20,Bantamweight,118,IBU-Bantamweight-118,,
52,1916-01-01,27,Al McCoy,,Young Ahearn,FINISHED,BOXER B,NWS,10,10,Middleweight,160,"IBU-Middleweight-160,NYSAC-Middleweight-160",,
53,1916-02-07,32,Pete Herman,24,Kid Williams,FINISHED,DRAW,PTS,20,20,Bantamweight,118,IBU-Bantamweight-118,,
54,1916-02-14,17,Jimmy Wilde,28,Joe Symonds,FINISHED,BOXER A,RTD,12,20,Flyweight,112,IBU-Flyweight-112,,
55,1916-03-25,2,Jess Willard,,Frank Moran,FINISHED,BOXER A,NWS,10,10,Heavyweight,175+,"IBU-Heavyweight-200+,NYSAC-Heavyweight-200+",,
56,1916-03-31,33,Benny Leonard,6,Freddie Welsh,FINISHED,BOXER A,NWS,10,10,Lightweight,135,IBU-Lightweight-135,,
57,1916-04-24,17,Jimmy Wilde,,Johnny Rosner,FINISHED,BOXER A,RTD,11,20,Flyweight,112,IBU-Flyweight-112,,
58,1916-04-25,14,Jack Dillon,,Battling Levinsky,FINISHED,BOXER A,PTS,15,15,Light Heavyweight,175,NYSAC-Light Heavyweight-175,,
59,1916-05-15,24,Kid Williams,,Billy Bevan,FINISHED,BOXER A,NWS,10,10,Bantamweight,118,IBU-Bantamweight-118,,
60,1916-06-26,17,Jimmy Wilde,3,Tancy Lee,FINISHED,BOXER A,KO,11,20,Flyweight,112,IBU-Flyweight-112,,
61,1916-07-04,,Ad Wolgast,6,Freddie Welsh,FINISHED,BOXER B,DQ,11,15,Lightweight,135,IBU-Lightweight-135,,
62,1916-07-31,17,Jimmy Wilde,,Johnny Hughes,FINISHED,BOXER A,KO,10,20,Flyweight,112,IBU-Flyweight-112,,
63,1916-09-04,11,Johnny Kilbane,,George KO Chaney,FINISHED,BOXER A,KO,3,15,Featherweight,126,IBU-Featherweight-126,,
64,1916-09-04,6,Freddie Welsh,,Charley White,FINISHED,BOXER A,PTS,20,20,Lightweight,135,IBU-Lightweight-135,,
65,1916-09-12,14,Jack Dillon,,Battling Levinsky,FINISHED,DRAW,NWS,8,8,Light Heavyweight,175,NYSAC-Light Heavyweight-175,,
66,1916-09-15,24,Kid Williams,,Dick Loadman,FINISHED,BOXER A,NWS,10,10,Bantamweight,118,IBU-Bantamweight-118,,
67,1916-09-22,6,Freddie Welsh,,Harry Anderson,FINISHED,BOXER A,PTS,4,4,Lightweight,135,IBU-Lightweight-135,,
68,1916-10-24,,Battling Levinsky,14,Jack Dillon,FINISHED,BOXER A,PTS,12,12,Light Heavyweight,175,NYSAC-Light Heavyweight-175,,
69,1916-12-18,17,Jimmy Wilde,,Young Zulu Kid,FINISHED,BOXER A,RTD,11,20,Flyweight,112,IBU-Flyweight-112,,
70,1917-01-09,32,Pete Herman,24,Kid Williams,FINISHED,BOXER A,PTS,20,20,Bantamweight,118,"IBU-Bantamweight-118,NYSAC-Bantamweight-118",,
71,1917-03-12,17,Jimmy Wilde,,George Clark,FINISHED,BOXER A,KO,4,20,Flyweight,112,IBU-Flyweight-112,,
