champion_id,first_name,last_name,short_name,born
1,Jack,Johnson,Johnson,1878-03-31
2,Jess,Willard,Willard,1881-12-29
3,Tancy,Lee,Lee,1882-01-31
4,Jack,Britton,Britton,1885-10-14
5,Sam,Langford,Langford,1886-03-04
6,Freddie,Welsh,Welsh,1886-03-05
7,Frank,Klaus,Klaus,1887-12-30
8,George,Chip,Chip,1888-08-25
9,Sid,Smith,Smith,1889-02-02
10,Johnny,Coulon,Coulon,1889-02-12
11,Johnny,Kilbane,Kilbane,1889-04-09
12,Johnny,Buff,Buff,1889-06-12
13,Bob,Moha,Moha,1890-06-06
14,Jack,Dillon,Dillon,1891-02-02
15,Willie,Ritchie,Ritchie,1891-02-13
16,Bill,Ladbury,Ladbury,1891-10-14
17,Jimmy,Wilde,Wilde,1892-05-15
18,Mike,McTigue,McTigue,1892-11-26
19,Percy,Jones,Jones,1892-12-26
20,Johnny,Wilson,Wilson,1893-03-23
21,Rocky,Kansas,Kansas,1893-04-21
22,Eugene,Criqui,Criqui,1893-08-15
23,Johnny,Dundee,Dundee,1893-11-19
24,Kid,Williams,Williams,1893-12-05
25,Georges,Carpentier,Carpentier,1894-01-12
26,Harry,Greb,Greb,1894-06-06
27,Al,McCoy,McCoy,1894-10-23
28,Joe,Symonds,Symonds,1894-12-28
29,Mike,O'Dowd,O'Dowd,1895-04-05
30,Jack,Dempsey,Dempsey,1895-06-24
31,Tiger,Flowers,Flowers,1895-08-05
32,Pete,Herman,Herman,1896-02-12
33,Benny,Leonard,Leonard,1896-04-07
34,Jimmy,Jones,Jones,1896-06-01
35,George,Godfrey,Godfrey,1897-01-25
36,Steve,Sullivan,Sullivan,1897-05-21
37,Gene,Tunney,Tunney,1897-05-25
38,Battling,Siki,Siki,1897-09-16
39,Abe,Goldstein,Goldstein,1898-09-10
40,Joe,Lynch,Lynch,1898-11-30
41,Joe,Burman,Burman,1898-12-12
42,Pinky,Mitchell,Mitchell,1899-01-01
43,Jack,Bernstein,Bernstein,1899-11-05
44,Jack,Delaney,Delaney,1900-03-19
45,Andre,Routis,Routis,1900-07-16
46,Jimmy,Goodrich,Goodrich,1900-07-30
47,Corporal Izzy,Schwartz,Schwartz,1900-10-23
48,Paul,Berlenbach,Berlenbach,1901-02-18
49,Mike,Ballerino,Ballerino,1901-04-10
50,Dave,Rosenberg,Rosenberg,1901-05-15
51,Pancho,Villa,Villa,1901-08-01
52,Frankie,Genaro,Genaro,1901-08-26
53,Kid,Kaplan,Kaplan,1901-10-15
54,Dave,Shade,Shade,1902-03-01
55,Panama Al,Brown,Brown,1902-07-05
56,Pete,Latzo,Latzo,1902-08-01
57,Charlie Phil,Rosenberg,Rosenberg,1902-08-15
58,Jack,Sharkey,Sharkey,1902-10-06
59,Tommy,Loughran,Loughran,1902-11-29
60,Tod,Morgan,Morgan,1902-12-25
61,Eddie,Martin,Martin,1903-02-26
62,Bushy,Graham,Graham,1903-06-18
63,Mickey,Walker,Walker,1903-07-13
64,Bud,Taylor,Taylor,1903-07-22
65,Joe,Dundee,Dundee,1903-08-06
66,Benny,Bass,Bass,1903-12-04
67,Tommy,Freeman,Freeman,1904-01-22
68,Sammy,Mandell,Mandell,1904-02-05
69,Pinky,Silverberg,Silverberg,1904-04-05
70,Marcel,Thil,Thil,1904-05-25
71,Jack,Thompson,Thompson,1904-08-17
72,Jimmy,Slattery,Slattery,1904-08-25
73,Willie,LaMorte,LaMorte,1904-09-14
74,Young,Corbett III,Corbett III,1905-05-27
75,Jim,Braddock,Braddock,1905-06-07
76,Max,Schmeling,Schmeling,1905-09-28
77,Fidel,LaBarba,LaBarba,1905-09-29
78,Mushy,Callahan,Callahan,1905-11-03
79,Maurice,Holtzer,Holtzer,1906-01-21
80,Gorilla,Jones,Jones,1906-05-12
81,Ceferino,Garcia,Garcia,1906-08-26
82,Emile,Pladner,Pladner,1906-09-02
83,Primo,Carnera,Carnera,1906-10-25
84,Maxie,Rosenbloom,Rosenbloom,1906-11-06
85,Petey,Sarron,Sarron,1906-11-21
86,Frenchy,Belanger,Belanger,1906-12-04
87,Tiger,Jack Fox,Fox,1907-04-02
88,Frankie,Klick,Klick,1907-05-05
89,George,Nichols,Nichols,1907-07-10
90,Adolf,Heuser,Heuser,1907-10-03
91,Vince,Dundee,Dundee,1907-10-22
92,Jimmy,McLarnin,McLarnin,1907-12-19
93,Jackie,Fields,Fields,1908-02-09
94,Battling,Battalino,Battalino,1908-02-18
95,Johnny,Jadick,Jadick,1908-06-16
96,Bob,Olin,Olin,1908-07-04
97,Tony,Canzoneri,Canzoneri,1908-11-06
98,Jackie,Wilson,Wilson,1909-01-01
99,Max,Baer,Baer,1909-02-11
100,Tommy,Paul,Paul,1909-03-04
101,Gustave,Roth,Roth,1909-03-12
102,Solly,Krieger,Krieger,1909-03-28
103,Jack,Kid Berg,Berg,1909-06-28
104,Al,Singer,Singer,1909-09-06
105,Joe,Knight,Knight,1909-10-16
106,Jackie,Brown,Brown,1909-11-29
107,Henry,Armstrong,Armstrong,1909-12-12
108,Barney,Ross,Ross,1909-12-23
109,Ben,Jeby,Jeby,1909-12-27
110,Kid,Chocolate,Chocolate,1910-01-06
111,Valentin,Angelmann,Angelmann,1910-03-07
112,Teddy,Yarosz,Yarosz,1910-06-24
113,Midget,Wolgast,Wolgast,1910-07-18
114,Ken,Overlin,Overlin,1910-08-15
115,Mike,Belloise,Belloise,1911-02-02
116,Freddie,Miller,Miller,1911-04-03
117,Bob,Godwin,Godwin,1911-05-05
118,Lou,Brouillard,Brouillard,1911-05-23
119,Babe,Risko,Risko,1911-07-14
120,Baltasar,Sangchili,Sangchili,1911-10-15
121,Young,Perez,Perez,1911-10-18
