reign_id,begins,ends,champion_id,name,current,title
1,1911-08-01,1915-04-05,1,Jack Johnson,0,NYSAC-Heavyweight-175+
2,1912-06-24,1913-10-11,7,Frank Klaus,0,NYSAC-Middleweight-160
3,1913-02-17,1914-06-15,13,Bob Moha,0,NYSAC-Light Heavyweight-175
4,1913-04-11,1913-06-02,9,Sid Smith,0,IBU-Flyweight-112
5,1913-05-01,1914-06-09,10,Johnny Coulon,0,IBU-Bantamweight-118
6,1913-05-01,1923-06-02,11,Johnny Kilbane,0,IBU-Featherweight-126
7,1913-05-01,1919-12-26,5,Sam Langford,0,IBU-Light Heavyweight-175
8,1913-05-01,1914-07-07,15,Willie Ritchie,0,IBU-Lightweight-135
9,1913-05-01,1913-10-11,7,Frank Klaus,0,IBU-Middleweight-160
10,1913-06-02,1914-01-26,16,Bill Ladbury,0,IBU-Flyweight-112
11,1913-10-11,1914-04-07,8,George Chip,0,IBU-Middleweight-160
12,1913-10-11,1914-04-07,8,George Chip,0,NYSAC-Middleweight-160
13,1913-12-01,1915-04-05,1,Jack Johnson,0,IBU-Heavyweight-175+
14,1914-01-26,1914-10-01,19,Percy Jones,0,IBU-Flyweight-112
15,1914-04-07,1917-11-14,27,Al McCoy,0,IBU-Middleweight-160
16,1914-04-07,1917-11-14,27,Al McCoy,0,NYSAC-Middleweight-160
17,1914-06-09,1917-01-09,24,Kid Williams,0,IBU-Bantamweight-118
18,1914-06-15,1917-11-14,14,Jack Dillon,0,NYSAC-Light Heavyweight-175
19,1914-07-07,1917-05-28,6,Freddie Welsh,0,IBU-Lightweight-135
20,1915-01-25,1915-10-18,3,Tancy Lee,0,IBU-Flyweight-112
21,1915-04-05,1919-07-04,2,Jess Willard,0,IBU-Heavyweight-175+
22,1915-04-05,1917-11-14,2,Jess Willard,0,NYSAC-Heavyweight-175+
23,1915-10-18,1916-02-14,28,Joe Symonds,0,IBU-Flyweight-112
24,1916-02-14,1923-06-18,17,Jimmy Wilde,0,IBU-Flyweight-112
25,1917-01-09,1920-12-22,32,Pete Herman,0,IBU-Bantamweight-118
26,1917-01-09,1917-11-14,32,Pete Herman,0,NYSAC-Bantamweight-118
27,1917-05-28,1925-01-15,33,Benny Leonard,0,IBU-Lightweight-135
28,1917-05-28,1925-01-15,33,Benny Leonard,0,NYSAC-Lightweight-135
29,1917-11-14,1920-05-06,29,Mike O'Dowd,0,IBU-Middleweight-160
30,1917-11-14,1920-05-06,29,Mike O'Dowd,0,NYSAC-Middleweight-160
31,1919-03-17,1922-11-01,4,Jack Britton,0,IBU-Welterweight-147
32,1919-07-04,1926-09-23,30,Jack Dempsey,0,IBU-Heavyweight-175+
33,1920-03-25,1922-06-21,11,Johnny Kilbane,0,NYSAC-Featherweight-126
34,1920-03-25,1926-09-23,30,Jack Dempsey,0,NYSAC-Heavyweight-175+
35,1920-03-25,1922-11-01,4,Jack Britton,0,NYSAC-Welterweight-147
36,1920-05-06,1923-08-31,20,Johnny Wilson,0,IBU-Middleweight-160
37,1920-05-06,1922-06-21,20,Johnny Wilson,0,NYSAC-Middleweight-160
38,1920-10-12,1922-09-24,25,Georges Carpentier,0,IBU-Light Heavyweight-175
39,1920-10-12,1922-09-24,25,Georges Carpentier,0,NYSAC-Light Heavyweight-175
